"probe","EntrezGene.ID","HUGO.gene.symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"NM_003226",7033,"TFF3",-0.911403797006207,-0.368952522255193,-15.1866732175128,4.13696745787925e-40,1.94763654492965e-37,80.4188991926848
"Contig55883_RC",NA,NA,-0.441714676889376,-0.108765578635015,-15.0135617707057,1.98906725624764e-39,9.18761424532046e-37,78.8651640160213
"Contig37015_RC",84959,NA,0.283097161372764,-0.0212522255192878,14.9983750663893,2.28247525623752e-39,1.03476438422131e-36,78.7290207934535
"NM_014211",2568,"GABRP",0.668065306681271,-0.300899109792285,14.941382555596,3.82432499321658e-39,1.70224182107155e-36,78.2183454816559
"NM_004780",9338,"TCEAL1",-0.39089800109529,-0.0808694362017804,-14.93664490419,3.99190485614845e-39,1.74510397827447e-36,78.1759116075034
"NM_001609",36,"ACADSB",-0.43024633431085,-0.100369047619048,-14.7821693580057,1.70218209578831e-38,7.31072278719188e-36,76.7414853696301
"Contig53130",168455,NA,0.304305636338457,-0.0449375,14.6887947551088,3.95043717714131e-38,1.6674250436827e-35,75.9077695478609
"Contig237_RC",79600,NA,-0.261940626140927,-0.0263115727002967,-14.6767333043056,4.17960802492742e-38,1.73425396708895e-35,75.8522012904707
"AK001423",NA,NA,-0.571423831690398,-0.211688427299703,-14.6707316351576,4.41207833744547e-38,1.80020149631671e-35,75.7986459356126
"AL049265",NA,NA,-0.528535323110624,-0.175593471810089,-14.6275243701155,6.51356153887658e-38,2.61407377103668e-35,75.4132306475871
"NM_000633",596,"BCL2",-0.486754928806134,-0.139418397626113,-14.4951357073046,2.14533065286702e-37,8.47094188916734e-35,74.2338772629865
"AF113132",29968,"PSAT1",0.369344574780059,-0.061452380952381,14.4884949588333,2.39497468418449e-37,9.30656749897152e-35,74.1254744384956
"Contig46056_RC",122970,"ACOT4",-0.379556909456006,-0.0740445103857567,-14.4154217779756,4.39223454862038e-37,1.68009834351212e-34,73.5249430275198
"Contig57940_RC",64112,"MOAP1",-0.270844103687477,-0.0583353115727003,-14.4082601352395,4.68407894184509e-37,1.76416825500476e-34,73.4612955665487
"AB032966",57217,"TTC7A",0.220631134314191,0.00741389728096677,14.4283528371733,5.28781546322604e-37,1.96137894477631e-34,73.3432538179295
"Contig263_RC",NA,NA,-0.235551524278934,-0.0294688427299703,-14.2813744773533,1.46246218677473e-36,5.34366220812422e-34,72.3348733595568
"X07834",6648,"SOD2",0.388877008032129,-0.0779554896142433,14.1971634876402,3.10933923620135e-36,1.11940785060949e-33,71.5886267546153
"NM_001793",1001,"CDH3",0.609989457831326,-0.227329376854599,14.1844194876606,3.48498987650997e-36,1.2364643067658e-33,71.4757890761619
"NM_004559",4904,"YBX1",0.303680996714129,-0.0370860534124629,14.1791695906798,3.65261294535925e-36,1.277423107362e-33,71.4293128775774
"NM_018000",55686,"MREG",-0.329919724351953,-0.0606973293768546,-14.1702767439413,3.95511176349646e-36,1.36373367721348e-33,71.3505962329576
"Contig51800",NA,NA,-0.243548922964586,-0.0230029673590504,-14.138127625101,5.27274104413498e-36,1.79280518752039e-33,71.0661257775994
"Contig27882_RC",203413,NA,0.572387203988367,-0.193214285714286,14.1328244184867,5.79371799475264e-36,1.94295904424027e-33,70.9730551207937
"AL137566",NA,NA,-0.607739345040342,-0.218767371601208,-14.1246808260569,7.89519898158177e-36,2.61192386848788e-33,70.669147657904
"AL050367",221061,"C10orf38",0.366908269441402,-0.0705756676557864,14.0690049167239,9.77893055345717e-36,3.19197331838913e-33,70.4550501667767
"NM_002888",5918,"RARRES1",0.435378787878788,-0.107643916913947,14.056769875835,1.090785008869e-35,3.51361944764763e-33,70.3469667358775
"Contig47045_RC",92840,"REEP6",-0.538063455149502,-0.130770392749245,-14.032729861894,1.78525673934924e-35,5.67595717350763e-33,69.8621385816507
"AL050374",25841,"ABTB2",0.224495618838992,0.0138991097922849,13.982170034596,2.12231884881994e-35,6.66108817153347e-33,69.6884851615387
"Contig50719_RC",85004,"RERG",-0.473708561518802,-0.120694362017804,-13.9646961367727,2.48006987955091e-35,7.68539123054251e-33,69.5343782103262
"Contig51994_RC",147798,"TMC4",-0.385767560664112,-0.0727393939393939,-13.9962063643688,2.58566980557573e-35,7.91247281378744e-33,69.4966690535441
"Contig9514_RC",NA,NA,-0.328395345537108,-0.0507333333333333,-13.9856828450325,2.83803895349542e-35,8.57753476796561e-33,69.4045510097205
"Contig38983_RC",1602,"DACH1",-0.508971570953963,-0.150419939577039,-13.9361026468881,4.20183924458759e-35,1.25445398227742e-32,69.0155164853293
"NM_003034",6489,"ST8SIA1",0.28560081234027,-0.0173293768545994,13.8891847254503,4.85920241694947e-35,1.43323053457036e-32,68.869011360558
"NM_004648",140885,"SIRPA",0.288794541803578,-0.0359050445103858,13.8348983846674,7.87592609374425e-35,2.29536365120182e-32,68.3912680307142
"NM_000191",3155,"HMGCL",-0.207886902227898,-0.00805757575757576,-13.8062801004896,1.38463059681129e-34,3.98789901653378e-32,67.8368831425523
"Contig55997_RC",387103,"C6orf173",0.429698311338158,-0.077230303030303,13.7963037908153,1.51196899980497e-34,4.30401314932856e-32,67.7498627768968
"Contig55538_RC",85377,"MICALL1",0.285519121942315,-0.0252462908011869,13.7503261694064,1.66957866946951e-34,4.69804085141186e-32,67.6480165760025
"Contig55725_RC",83879,"CDCA7",0.596586071558964,-0.233596439169139,13.7246035359625,2.09770390365083e-34,5.83566923469044e-32,67.4222073511471
"Contig42006_RC",NA,NA,0.254091182913472,0.00014540059347181,13.7143951250816,2.29654056054131e-34,6.31703477107997e-32,67.3326243845988
"Contig14284_RC",NA,NA,-0.947679490690032,-0.379706231454006,-13.6962575776971,2.69732108102861e-34,7.33701304274015e-32,67.1735062229639
"M29873",1555,"CYP2B6",-0.740166666666666,-0.362611275964392,-13.6491655149249,4.09441668629948e-34,1.09658785318929e-31,66.7606522923442
"NM_005235",2066,"ERBB4",-0.469085387002556,-0.0871216617210682,-13.6484350887114,4.12099515924245e-34,1.09658785318929e-31,66.754251862789
"Contig38288_RC",169714,"QSCN6L1",0.303887002555677,-0.0111246290801187,13.615665711524,5.508426126316e-34,1.45001913976712e-31,66.4672078830443
"NM_001982",2065,"ERBB3",-0.325417944505294,-0.057353115727003,-13.6028991398557,6.16740402092746e-34,1.60621508336516e-31,66.3554324875688
"NM_001280",1153,"CIRBP",-0.278258899233297,-0.0195044510385757,-13.5993195880423,6.36590128459736e-34,1.64045925629714e-31,66.3240977964546
"Contig41887_RC",124220,NA,-0.601231425702811,-0.173391691394659,-13.573572624014,7.99437167090004e-34,2.03864805078441e-31,66.0987842191795
"NM_006941",6663,"SOX10",0.186993035190616,0.0190267857142857,13.5590651374985,9.4725712797334e-34,2.39070121133148e-31,65.9315389187927
"AB037791",56204,"KIAA1370",-0.366096385542169,-0.0890297619047619,-13.5273342616979,1.25356295772541e-33,3.1314770171506e-31,65.6543570180294
"Contig54666_RC",84269,"CHCHD5",-0.208281672143118,0.0023026706231454,-13.5181468673499,1.30484092599497e-33,3.22664754639222e-31,65.6141714652503
"AB007950",9911,"TMCC2",0.308381115370573,-0.0440474777448071,13.5159172005515,1.33079682478196e-33,3.25792370674871e-31,65.5946886256147
